local_designation|rb_factor_catalogue|ps1_designation|sherlock_distancempc|dec_psf|sherlock_host_ra|psf_inst_mag_sig|cal_psf_mag|sherlockClassification|detection_list_id|sherlock_object_id|filter|rb_factor_image|sherlock_tables|followup_flag_date|sherlock_specz|tns_name|ra_psf|id|sherlock_host_dec|target|ref|diff|mjd_obs
10EYSEdym|0.0843732|PS20ddu|640.960775|21.87827199505201|236.28656922011822|0.304885|21.1908|NT|GOOD|1237665373331718316|z|0.120775|SDSS|2020-05-13|||236.28677890119712|1154508811215241800|21.878206347364372|1154508811215241800_58982.513_103979179_325_target|1154508811215241800_58982.513_103979179_325_ref|1154508811215241800_58982.513_103979179_325_diff|59365.3453610494
10EYSEdqa|0.758278|PS20ctv|273.388136|10.907679004275835|174.9788560041438|0.109091|20.0188|NT|GOOD|1237660615586480233|r|0.99774|SDSS|2020-05-13|||174.97875053061387|1113954891105427800|10.907489539046853|1113954891105427800_58982.300_103955532_115_target|1113954891105427800_58982.300_103955532_115_ref|1113954891105427800_58982.300_103955532_115_diff|59030.2714148684
10EYSEdqd|0.305472|PS20dgx||-0.7166351679461331|189.57942764|0.178251|21.1733|UNCLEAR|GOOD|107141895794390504|r|0.736048|PS1|2020-05-13||2020kpf|189.57941697993252|1123819060004259700|-0.716604208|1123819060004259700_58982.284_103954516_215_target|1123819060004259700_58982.284_103954516_215_ref|1123819060004259700_58982.284_103954516_215_diff|59010.2845276334
10EYSEdqe|0.596248|PS20cpu|287.078|-4.640740649427426|193.269|0.190293|20.3867|SN|GOOD|GALEXASCJ125304.49-043825.7|i|0.520876|NED/GLADE/PS1|2020-05-13|0.0644||193.2694747698788|1125304660043826400|-4.64064|1125304660043826400_58982.285_103954582_142_target|1125304660043826400_58982.285_103954582_142_ref|1125304660043826400_58982.285_103954582_142_diff|59014.2746577224
10EYSEdqo|0.475551|PS20dda|760.527309|10.625134958482818|230.901247414|0.25525|21.3332|SN|GOOD|1237662534357352741|r|0.817484|SDSS/PS1/GLADE|2020-05-13|0.159063|2020kax|230.9016679487714|1152336401103730300|10.625779086|1152336401103730300_58982.520_103979879_383_target|1152336401103730300_58982.520_103979879_383_ref|1152336401103730300_58982.520_103979879_383_diff|59021.2835029159
10EYSEdoo|0.299626|PS20dif||17.753198859042843||0.184656|20.8862|ORPHAN|GOOD||i|0.89739||2020-05-12|||194.13521687810467|1125632431174511600||1125632431174511600_58981.404_103924973_113_target|1125632431174511600_58981.404_103924973_113_ref|1125632431174511600_58981.404_103924973_113_diff|58984.2758660043
10EYSEdnj|0.321803|PS20czf||27.588032423148153|237.1635395571938|0.198421|20.73|SN|GOOD|1237662663215678320|r|0.618272|SDSS/PS1|2020-05-12||2020jti|237.16354881018702|1154839221273517100|27.588014120426045|1154839221273517100_58981.393_103924066_376_target|1154839221273517100_58981.393_103924066_376_ref|1154839221273517100_58981.393_103924066_376_diff|59408.3925712927
10EYSEdor|0.323807|PS20czj||23.26034349224091|245.433163946|0.245024|21.3158|SN|GOOD|1237662663756349542|r|0.610584|SDSS/PS1|2020-05-12||2020jtm|245.43319677305766|1162143971231537100|23.26032307|1162143971231537100_58981.392_103923889_446_target|1162143971231537100_58981.392_103923889_446_ref|1162143971231537100_58981.392_103923889_446_diff|59435.2744288818
10EYSEdpv|0.620585|PS20czq|416.985674|34.741703906183375|139.38281436814148|0.203669|20.6849|NT|GOOD|1237660961866252528|i|0.598574|SDSS|2020-05-12||2020jts|139.38281572486477|1091731861344430000|34.74179042843251|1091731861344430000_58981.264_103909934_170_target|1091731861344430000_58981.264_103909934_170_ref|1091731861344430000_58981.264_103909934_170_diff|58992.2701081961
10EYSEdpi|0.991161|PS20czo|463.619345|19.775113140024004|181.4604999981176|0.175205|20.9719|NT|GOOD|1237667915418894484|i|0.905785|SDSS|2020-05-12|||181.46054556673718|1120550521194630300|19.775027291346824|1120550521194630300_58981.258_103909368_102_target|1120550521194630300_58981.258_103909368_102_ref|1120550521194630300_58981.258_103909368_102_diff|59343.2586093731
10EYSEdpk|0.0604665|PS20czp|874.097212|19.874358073706215|182.17113300344698|0.25701|21.1597|NT|GOOD|1237667915419156634|i|0.778029|SDSS|2020-05-12||2020jtr|182.1707589584626|1120840981195227600|19.87428249978216|1120840981195227600_58981.258_103909378_199_target|1120840981195227600_58981.258_103909378_199_ref|1120840981195227600_58981.258_103909378_199_diff|58985.3694845135
10EYSEdop|0.379687|PS20czi|313.313621|25.736172760057904|237.722351|0.210933|20.1653|NT|GOOD|2MASXJ15505336+2544103|z|0.688957|NED/SDSS/GLADE/2MASS|2020-05-12|0.069505|2020jtl|237.72235704468284|1155053371254410000|25.736216|1155053371254410000_58981.393_103924033_189_target|1155053371254410000_58981.393_103924033_189_ref|1155053371254410000_58981.393_103924033_189_diff|59388.2959797811
10EYSEdpd|0.50798|PS20dgh||32.354416676548674|140.69369816|0.112658|20.3776|UNCLEAR|GOOD|146821406937955592|i|0.890534|PS1|2020-05-12||2020knv|140.6934650478319|1092246421322115800|32.35435668|1092246421322115800_58985.264_104070969_342_target|1092246421322115800_58985.264_104070969_342_ref|1092246421322115800_58985.264_104070969_342_diff|59000.277211783
10EYSEdph|0.823482|PS20czn||33.78691550785851|146.770209424|0.233075|20.5602|SN|GOOD|1237664668968943622|i|0.956485|SDSS/PS1|2020-05-12||2020jtq|146.770541916471|1094704941334712800|33.788403334|1094704941334712800_58981.265_103910154_96_target|1094704941334712800_58981.265_103910154_96_ref|1094704941334712800_58981.265_103910154_96_diff|58992.2718324801
10EYSEdow|0.109656|PS20czm|315.053646|24.37776953483627|238.50415483019486|0.185809|21.143|SN|GOOD|2MASXJ15540100+2422514|i|0.513849|NED/SDSS/PS1/GLADE/2MASS|2020-05-12|0.069873|2020jtp|238.50772578814406|1155401851242239900|24.380900570010375|1155401851242239900_58981.393_103924016_402_target|1155401851242239900_58981.393_103924016_402_ref|1155401851242239900_58981.393_103924016_402_diff|58981.3932015421
10EYSEdnr|0.641237|PS20czg|519.145011|25.442063618057144|242.67|0.247108|21.4985|SN|GOOD|1237662664291778832|r|0.995114|SDSS/PS1/GLADE|2020-05-12|0.111896|2020jtj|242.66897153665067|1161040551252631400|25.44034|1161040551252631400_58981.394_103924144_427_target|1161040551252631400_58981.394_103924144_427_ref|1161040551252631400_58981.394_103924144_427_diff|59009.3445671559
10EYSEdos|0.0424684|PS20czk||31.667544210060917|201.206515748|0.308186|20.8492|SN|GOOD|1237665227311481171|i|0.568445|SDSS/PS1|2020-05-12||2020jtn|201.2090701444677|1132450181314003200|31.66825975|1132450181314003200_58981.400_103924624_128_target|1132450181314003200_58981.400_103924624_128_ref|1132450181314003200_58981.400_103924624_128_diff|58981.4001543162
10EYSEdng|0.292729|PS20dgf||32.0009356075677||0.295116|20.7043|ORPHAN|GOOD||i|0.913842||2020-05-12||2020knt|203.62280642934195|1133429461320003400||1133429461320003400_58981.400_103924644_139_target|1133429461320003400_58981.400_103924644_139_ref|1133429461320003400_58981.400_103924644_139_diff|58981.4001543162
10EYSEdov|0.433954|PS20czl||25.915833026301534|246.32913363|0.172667|20.8122|SN|GOOD|1237662641733632608|i|0.971245|SDSS/PS1|2020-05-12||2020jto|246.32775962762145|1162518651255457000|25.915328966|1162518651255457000_58981.395_103924207_314_target|1162518651255457000_58981.395_103924207_314_ref|1162518651255457000_58981.395_103924207_314_diff|58981.3950210451
10EYSEdoa|0.0503193|PS20czh||24.502775800865322|243.00986449872994|0.231571|20.7737|SN|GOOD|1237662305127760238|z|0.480175|SDSS/PS1|2020-05-12||2020jtk|243.0101482247277|1161202431243009800|24.50205341927387|1161202431243009800_58981.394_103924129_385_target|1161202431243009800_58981.394_103924129_385_ref|1161202431243009800_58981.394_103924129_385_diff|59034.277563489
10EYSEdhi|0.99863|PS20cyf|30.3238|-14.80557405215738|142.245|0.00932691|14.4402|SN|CONFIRMED|PGC026905|r|0.999968|GLADE/PS1/GSC|2020-05-11|0.00668073334037||142.2434171326001|1092858410144820000|-14.80673|1092858410144820000_58980.255_103877773_12_target|1092858410144820000_58980.255_103877773_12_ref|1092858410144820000_58980.255_103877773_12_diff|59017.2657996653
10EYSEdlz|0.847278|PS20cyp||-14.516150110213934|142.603192984|0.098872|20.6975|SN|GOOD|90581426031842976|r|0.992573|PS1|2020-05-11||2020jpw|142.6032303036159|1093024770143058200|-14.51449559|1093024770143058200_58980.255_103877772_368_target|1093024770143058200_58980.255_103877772_368_ref|1093024770143058200_58980.255_103877772_368_diff|58990.2592915666
10EYSEdlt|0.213302|PS20die||-13.93193030747236|141.597285306|0.189902|21.4236|SN|GOOD|91281415972741959|r|0.789084|PS1|2020-05-11||2020kux|141.59725852597902|1092623340135554800|-13.932014072|1092623340135554800_58980.255_103877791_492_target|1092623340135554800_58980.255_103877791_492_ref|1092623340135554800_58980.255_103877791_492_diff|58990.2592915666
10EYSEdkf|0.412481|PS20cyl|348.410374|8.605992066493611|185.10365687689284|0.246178|20.5834|NT|GOOD|2MASXJ12202487+0836211|r|0.657673|NED/SDSS/2MASS/GLADE|2020-05-11|0.076894|2020jpr|185.10371160705|1122024881083621400|8.605987178193848|1122024881083621400_58980.369_103888643_117_target|1122024881083621400_58980.369_103888643_117_ref|1122024881083621400_58980.369_103888643_117_diff|59406.2820656822
10EYSEdko|0.140814|PS20dgu|459.0|3.477294675638985|150.81699399751983|0.302203|20.3849|NT|GOOD|SDSSJ100316.07+032838.0|r|0.433477|NED/NED_D/SDSS/GAIA/GLADE/2MASS|2020-05-11|0.105612|2020koo|150.8169748607835|1100316071032838200|3.477251534034966|1100316071032838200_58980.362_103888022_143_target|1100316071032838200_58980.362_103888022_143_ref|1100316071032838200_58980.362_103888022_143_diff|59017.2678524987
10EYSEdjo|0.286646|PS20cyi||13.026872086952183|192.5258210188648|0.215205|21.3423|NT|GOOD|1237661950794662093|i|0.548583|SDSS/2MASS|2020-05-11||2020jpo|192.52584583484526|1125006201130136800|13.026920726831863|1125006201130136800_58980.368_103888567_199_target|1125006201130136800_58980.368_103888567_199_ref|1125006201130136800_58980.368_103888567_199_diff|59008.2874294818
10EYSEdkw|0.0604518|PS20cyn|666.499092|5.1421484302023055|156.61137067783966|0.269746|20.6833|NT|GOOD|1237654606397964516|r|0.413631|SDSS/GAIA/2MASS/GLADE|2020-05-11|0.140982|2020jpu|156.61141542936244|1102626731050831900|5.142098344285142|1102626731050831900_58980.361_103887953_208_target|1102626731050831900_58980.361_103887953_208_ref|1102626731050831900_58980.361_103887953_208_diff|59212.6347197899
10EYSEdkn|0.124222|PS20cym|780.193883|12.386314349082731|186.700562|0.205106|20.2164|NT|GOOD|2MASXJ12264813+1223107|i|0.503109|NED/SDSS/2MASS|2020-05-11|0.162801|2020jps|186.7005808310487|1122648131122310900|12.386319|1122648131122310900_58980.371_103888894_218_target|1122648131122310900_58980.371_103888894_218_ref|1122648131122310900_58980.371_103888894_218_diff|59402.2857914474
