sn_ra,sn_dec,host_ra,host_dec
14.131257222222223,9.64204722222222,14.131308055555555,9.641271944444444
15.097661111111112,-5.6269583333333335,15.097655555555557,-5.627000000000001
17.16278611111111,62.97416944444445,17.162243027777777,62.973034444444444
12.990914444444444,14.171052777777778,12.99087222222222,14.17105
6.191805555555556,-16.48431111111111,6.191805222222222,-16.485643055555556
15.952263888888888,-12.673313888888888,15.952247222222221,-12.67368611111111
15.378088611111112,50.976508333333335,15.378082722222223,50.97659194444444
13.135869444444443,27.82636388888889,13.135874444444443,27.826516666666667
22.26994722222222,37.47392222222222,22.26996861111111,37.474586111111115
14.214227777777777,35.71106944444445,14.214240555555556,35.71074166666667
13.353583333333333,40.265677777777775,13.35357713888889,40.265765
15.539666666666667,41.84988888888889,15.539615833333333,41.849941666666666
