sn_name,sn_ra,sn_dec,sherlock_host_ra,sherlock_host_dec,ghost_ra,ghost_dec,aperture_semi_major_axis
11JYSEhjl,318.7544143525239,9.902331377978328,318.7536217,9.90182913,318.75361811,9.90182879,0.0
11JYSEhjk,322.35546804113164,9.99669422131244,322.354088836,9.995467932,322.35408051,9.99546848,0.0
11JYSEhji,325.9693490767735,10.618263450759285,325.968105284,10.617192964,325.96809456,10.61717974,0.0
11JYSEhjg,319.047069316939,13.750365412078656,319.04546134,13.750219576,319.04548491,13.74896455,0.0
11JYSEhis,17.05099915817586,-19.78999430800048,17.050917,-19.78983,17.05339028,-19.78909387,0.0
11JYSEhiq,135.3094831389488,46.71708880237272,135.30945039367202,46.71706205703234,135.30947185,46.71707015,0.0
11JYSEhjc,309.93377179327496,0.0039267340939378,309.93382980200005,0.003951848,309.93382054,0.00394362,0.0
11JYSEhja,317.0427930341675,-3.915383429689184,317.043539102,-3.913973186,317.04388403,-3.91197425,0.0
11JYSEhit,357.6099563495046,24.91812322292286,357.609041926,24.917276286,357.60902577,24.91726372,0.0
11JYSEhiu,7.434097017580733,27.86329065518262,7.435521142,27.863114436,7.43548006,27.86312844,0.0
11JYSEhir,126.39366048390023,43.42079225733832,126.393812,43.420864,126.39358191,43.42082184,0.0
11JYSEhip,126.00041822305246,44.42330948945683,126.00684554013012,44.41954302581299,126.0026644,44.42471307,0.0
11JYSEhio,140.42946093141342,50.67070656318235,140.428096482,50.671548278,140.42807512,50.6715649,0.0
11JYSEhih,332.3478091530082,5.306084579160859,332.348471104,5.305625648,332.34847663,5.30562552,0.0
11JYSEhij,129.45393003121893,45.137291010543365,129.45391666666666,45.13731,129.45392393,45.13735724,0.0
11JYSEhii,124.8944330360325,49.672504184573405,124.894417,49.67253,124.89443337,49.67254084,0.0
11JYSEhik,125.14440608284518,44.27495688733487,125.1444868567992,44.27493338658587,125.14446686,44.27495103,0.0
11JYSEhil,66.76281904943745,-26.196845809039804,66.762869,-26.196882,66.76277951,-26.19681152,0.0
11JYSEhif,319.8112898442545,10.07130227314888,319.8147917,10.07064,319.81481395,10.0706671,0.0
11JYSEhht,140.58883243709337,51.11392289479975,140.587734066,51.113433584,140.58771719,51.11343162,0.0
11JYSEhhv,334.9062509472306,6.527726981434567,334.906217412,6.527305064,334.90623271,6.52731028,0.0
11JYSEhhz,125.53987981064974,49.00009353516807,125.531876,49.002975,125.53186642,49.00301406,0.0
11JYSEhhu,319.27630919994766,-0.7032568273853984,319.276417,-0.703,319.2763787,-0.70297457,0.0
11JYSEhhy,126.41617412933724,43.420206211397165,126.416166006,43.420205942,126.41617491,43.42019378,0.0
11JYSEhhx,128.99147664451084,44.63802903781921,128.99143376313998,44.63802122328544,128.9888947,44.63617885,0.0
11JYSEhhw,139.296486865625,52.80194796243935,139.296416667,52.80189,139.2963706,52.80189388,0.0
11JYSEhhm,59.06461478728424,-26.480403835287483,59.062885,-26.482105,59.06279879,-26.48218961,0.0
11JYSEhhl,321.51469521118514,10.405969416811672,321.51464483103223,10.405788762792383,321.51464518,10.40581976,0.0
11JYSEhhp,62.65090595061014,-9.73658621402994,62.64946771,-9.737469534,62.64948964,-9.73745014,0.0
11JYSEhhq,63.573977869564295,-7.721311660148125,63.57349237,-7.722334256,63.5735504,-7.72241516,0.0
11JYSEhhn,65.61270884647317,-21.18778774852693,65.611287384,-21.185459396,65.61128745,-21.18547226,0.0
11JYSEhhj,62.95003696722455,-11.261591899833656,62.94968648,-11.262984208,62.94969294,-11.26296997,0.0
11JYSEhhf,42.22217357629122,-3.864653222123588,42.222101124,-3.864601454,42.21929096,-3.86311905,0.0
11JYSEhhg,50.55186253495523,-3.59733440834816,50.553983608,-3.598852192,50.553998,-3.5988553,0.0
11JYSEhhh,63.57275409868637,-7.718529645427415,63.573801912,-7.719517958,63.5735504,-7.72241516,0.0
11JYSEhha,17.296226495075683,0.9184447342860588,17.296533736,0.9188325,17.29654299,0.91885053,0.0
11JYSEhhd,3.1487936594383115,1.6457287246574477,3.14904166667,1.64563888889,3.14880075,1.6457112,0.0
11JYSEhgo,59.09060314728151,-11.351136138955605,59.090572066,-11.35113592,59.0906008,-11.35113618,0.0
11JYSEhhb,1.5415365213165355,1.2593131763170649,1.541578254,1.259317086,1.54275794,1.25739044,0.0
11JYSEhgz,2.287856557396863,1.1094662948709204,2.288874340022744,1.1086103508706322,2.28674941,1.10634842,0.0
11JYSEhgy,46.95921170262254,40.34566916178535,46.960620522,40.34616754,46.95601075,40.34561774,0.0
11JYSEhgu,48.48575971474154,39.747312699124976,48.486902256,39.747976146,48.4869314,39.74800804,0.0
11JYSEhgt,46.79232037211663,40.39696075242631,46.783865579152376,40.39188574461048,46.79631465,40.39776416,0.0
11JYSEhgs,51.61258253651144,41.59823938772095,51.611072254,41.598639492,51.61106001,41.59862763,0.0
11JYSEhgw,50.86984946257535,42.02842480748661,50.867091141045705,42.02721697461649,50.86704129,42.02721535,0.0
11JYSEhgq,63.63704786129701,-8.789300275292561,63.63777943,-8.791767328,63.63777676,-8.79174351,0.0
11JYSEhgn,65.85899162385196,-9.80869462673969,65.859741542,-9.809238124,65.85976195,-9.80924399,0.0
11JYSEhgl,5.464910430011624,17.599540427571018,5.464488928614742,17.60003320214117,5.46450492,17.60009858,0.0
11JYSEhgj,17.557494017679986,2.30242190486484,17.557709679423795,2.302021445020068,17.55772929,2.3020371,0.0
