sn name,sn_ra,sn_dec,host_ra,host_dec,ghost_host_ra,ghost_host_dec
2017ns ,2.81955,14.600730555555556,2.81949225,14.600888055555556,,
,,,,,,
2017nw ,,,,,,
,,,,,,
ASASSN-17bh                  ,16.0643625,39.99004722222222,16.064495833333336,39.9845,,
,,,,,,
ASASSN-17bo                  ,11.02209277777778,70.66521111111112,11.022197444444446,70.66523000000001,,
,,,,,,
,,,,,,
2017yh ,17.868402777777778,21.566194444444445,17.86829416666667,21.569175,17d51m58.744224s,21d33m50.594472s
,,,,,,
2017zd ,13.545025,-21.801194444444445,13.545043583333332,-21.800955,,
2017aaa,13.830319444444443,-3.08,13.830297222222224,-3.080144444444445,,
2017adj,,,,,,
,,,,,,
2017awz,,,,,,
2017azk,11.42729472222222,7.333555555555555,11.427327777777776,7.334388888888888,,
,,,,,,
,,,,,,
,,,,,,
2017cfc,13.877497222222225,-2.0022777777777776,13.877716944444446,-1.9976972222222225,,
2017cfd,8.680319444444445,73.48752777777779,8.680682722222222,73.48676472222222,8d40m19.098264s,73d29m04.332984s
,,,,,,
2017cgr,8.549144444444444,-3.857805555555556,8.549249277777777,-3.858195,,
,,,,,,
2017cii,16.555500000000002,23.731,16.555544722222223,23.73231388888889,,
,,,,,,
,,,,,,
2017ciy,,,,,,
,,,,,,
,,,,,,
2017cju,,,,,,
2017cjv,10.179344444444444,-3.77775,10.179336444444443,-3.778906944444445,,
PTSS-17niq                   ,14.337969444444443,15.341547222222223,14.33782663888889,15.34420277777778,,
2017ckx,,,,,,
2017coa,,,,,,
ASASSN-17ej                  ,14.131257222222224,9.64204722222222,14.131308055555555,9.641271944444444,,
ASASSN-15bc                  ,,,,,,
,,,,,,
ASASSN-15bm                  ,15.097661111111112,-5.6269583333333335,15.097655555555557,-5.627000000000001,,
ASASSN-15fa                  ,17.16278611111111,62.97416944444445,17.162243027777777,62.97303444444445,,
ASASSN-15fs                  ,,,,,,
,,,,,,
ASASSN-15ga                  ,12.990914444444444,14.171052777777778,12.99087222222222,14.17105,,
ASASSN-15go                  ,6.191805555555556,-16.48431111111111,6.191805222222222,-16.485643055555556,,
,,,,,,
ASASSN-15hg                  ,,,,,,
,,,,,,
ASASSN-15hy                  ,,,,,,
ASASSN-15il                  ,15.952263888888888,-12.673313888888888,15.95224722222222,-12.67368611111111,,
ASASSN-15jl                  ,15.378088611111112,50.976508333333335,15.378082722222224,50.97659194444444,,
ASASSN-15jt                  ,13.135869444444443,27.82636388888889,13.135874444444443,27.826516666666667,,
ASASSN-15kx                  ,22.26994722222222,37.47392222222222,22.26996861111111,37.47458611111112,,
ASASSN-15la                  ,14.214227777777776,35.71106944444445,14.214240555555556,35.71074166666667,,
ASASSN-15lg                  ,,,,,,
,,,,,,
ASASSN-15lu                  ,13.353583333333331,40.265677777777775,13.35357713888889,40.265765,,
ASASSN-15mf                  ,,,,,,
ASASSN-15mg                  ,15.539666666666667,41.84988888888889,15.539615833333333,41.849941666666666,,
ASASSN-15mi                  ,14.054375,41.60398888888889,14.054222222222222,41.60722222222223,,
ASASSN-15np                  ,15.100736111111113,7.561538888888888,15.10074,7.561591666666667,,
ASASSN-15nq                  ,17.288675,33.46201944444445,17.28856,33.46314166666667,,
,,,,,,
ASASSN-15nr                  ,,,,,,
ASASSN-15od                  ,2.3870027777777776,-4.517222222222222,2.3870144444444445,-4.517088888888889,,
,,,,,,
ASASSN-15oh                  ,22.51166027777778,39.29311666666666,22.511416861111112,39.29186694444444,22d30m51.181524s,39d17m17.921112s
ASASSN-15pm                  ,1.6433555555555557,-4.680011111111112,1.6435469444444444,-4.682805555555555,,
ASASSN-15pn                  ,4.057311111111111,-5.4920277777777775,4.0572875,-5.491855555555556,,
,,,,,,
ASASSN-15pr                  ,23.11097138888889,-12.57288611111111,23.11100666666667,-12.57328888888889,,
,,,,,,
ASASSN-15py                  ,8.088750000000001,22.963775,8.08877638888889,22.964191666666665,,
ASASSN-15rw                  ,2.266236111111111,12.23711111111111,2.266233333333333,12.237555555555554,2d16m06.455784s,12d14m23.415648s
,,,,,,
,,,,,,
ASASSN-15sb                  ,6.013359722222222,-15.399238888888888,6.013355,-15.399094444444444,,
ASASSN-15sf                  ,,,,,,
,,,,,,
ASASSN-15so                  ,,,,,,
,,,,,,
ASASSN-15ss                  ,6.209277222222222,-14.257483333333331,6.209667555555556,-14.2577575,,
ASASSN-15tg                  ,0.3447388888888889,25.22905833333333,0.3448911111111111,25.22795833333333,,
ASASSN-15ti                  ,3.085726666666667,37.9002,3.0862795000000003,37.89999777777778,,
ASASSN-15tz                  ,2.685794444444445,43.68021666666667,2.6859275,43.68269722222222,2d40m48.838908s,43d40m43.674492s
ASASSN-15uu                  ,1.7323816666666667,17.062344444444445,1.732381527777778,17.06205611111111,,
ASASSN-15uv                  ,8.45225861111111,27.811594444444445,8.4522725,27.810466666666667,,
ASASSN-15uw                  ,2.592863055555556,-6.063047222222222,2.592876694444445,-6.063894444444444,2d35m38.162904s,-6d03m44.396856s
,,,,,,
iPTF17fs                     ,,,,,,
MASTER OT J151647.17+283742.8,15.279769444444446,28.62855555555556,15.279892861111112,28.61844583333333,,
MASTER OT J222232.87-185224.3,22.37579722222222,-18.873416666666667,22.375305277777777,-18.869705555555555,22d22m38.22078s,-18d52m33.89304s
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
PSN J01534240+2956107        ,1.8951111111111112,29.93630555555556,1.8950652777777777,29.93308888888889,,
PSN J02524671+4656470        ,2.8796416666666667,46.94638888888888,2.87901,46.93810694444444,,
PSN J08593491+4555343        ,,,,,,
,,,,,,
PSN J12040516+1404059        ,,,,,,
,,,,,,
PSN J16025128+4713292        ,16.047522222222224,47.225,16.047111111111114,47.22555555555556,,
,,,,,,
PSN J16283836+3932552        ,16.47732222222222,39.54866666666666,16.477290194444443,39.55117583333333,,
,,,,,,
PSN J20435314+1230304        ,20.73142777777777,12.508444444444445,20.731589916666664,12.511908611111112,,
PSN J23102264+0735202        ,23.17295555555556,7.5889444444444445,23.172881944444445,7.580611111111111,,
PSN J23523718+1433092        ,23.87699444444445,14.552555555555555,23.87678,14.551438888888889,,
